name,partyName,state,chamber,congress,last_name
"Graham, Lindsey",Republican,South Carolina,House of Representatives,115,Graham
"Ernst, Joni",Republican,Iowa,Senate,115,Ernst
"Cruz, Ted",Republican,Texas,Senate,115,Cruz
"Daines, Steve",Republican,Montana,House of Representatives,115,Daines
"Duckworth, Tammy",Democratic,Illinois,House of Representatives,115,Duckworth
"Durbin, Richard J.",Democratic,Illinois,House of Representatives,115,Durbin
"Crapo, Mike",Republican,Idaho,House of Representatives,115,Crapo
"Cortez Masto, Catherine",Democratic,Nevada,Senate,115,Cortez Masto
"Cramer, Kevin",Republican,North Dakota,House of Representatives,115,Cramer
"Cotton, Tom",Republican,Arkansas,House of Representatives,115,Cotton
"Cornyn, John",Republican,Texas,Senate,115,Cornyn
"Coons, Christopher A.",Democratic,Delaware,Senate,115,Coons
"Cassidy, Bill",Republican,Louisiana,House of Representatives,115,Cassidy
"Collins, Susan M.",Republican,Maine,Senate,115,Collins
"Capito, Shelley Moore",Republican,West Virginia,House of Representatives,115,Capito
"Cantwell, Maria",Democratic,Washington,House of Representatives,115,Cantwell
"Blunt Rochester, Lisa",Democratic,Delaware,House of Representatives,115,Blunt Rochester
"Booker, Cory A.",Democratic,New Jersey,Senate,115,Booker
"Blumenthal, Richard",Democratic,Connecticut,Senate,115,Blumenthal
"Boozman, John",Republican,Arkansas,House of Representatives,115,Boozman
"Barrasso, John",Republican,Wyoming,Senate,115,Barrasso
"Bennet, Michael F.",Democratic,Colorado,Senate,115,Bennet
"Baldwin, Tammy",Democratic,Wisconsin,House of Representatives,115,Baldwin
"Blackburn, Marsha",Republican,Tennessee,House of Representatives,115,Blackburn
"Menendez, Robert",Democratic,New Jersey,House of Representatives,115,Menendez
"Pascrell, Bill",Democratic,New Jersey,House of Representatives,115,Pascrell
"Rubio, Marco",Republican,Florida,Senate,115,Rubio
"Wild, Susan",Democratic,Pennsylvania,House of Representatives,115,Wild
"Wenstrup, Brad R.",Republican,Ohio,House of Representatives,115,Wenstrup
"Sablan, Gregorio Kilili Camacho",Democratic,Northern Mariana Islands,House of Representatives,115,Sablan
"Sarbanes, John P.",Democratic,Maryland,House of Representatives,115,Sarbanes
"Ruppersberger, C. A. Dutch",Democratic,Maryland,House of Representatives,115,Ruppersberger
"Posey, Bill",Republican,Florida,House of Representatives,115,Posey
"Napolitano, Grace F.",Democratic,California,House of Representatives,115,Napolitano
"Mooney, Alexander X.",Republican,West Virginia,House of Representatives,115,Mooney
"McMorris Rodgers, Cathy",Republican,Washington,House of Representatives,115,McMorris Rodgers
"McHenry, Patrick T.",Republican,North Carolina,House of Representatives,115,McHenry
"Lesko, Debbie",Republican,Arizona,House of Representatives,115,Lesko
"Luetkemeyer, Blaine",Republican,Missouri,House of Representatives,115,Luetkemeyer
"Lamborn, Doug",Republican,Colorado,House of Representatives,115,Lamborn
"Lee, Barbara",Democratic,California,House of Representatives,115,Lee
"Kuster, Ann M.",Democratic,New Hampshire,House of Representatives,115,Kuster
"Kilmer, Derek",Democratic,Washington,House of Representatives,115,Kilmer
"Kildee, Daniel T.",Democratic,Michigan,House of Representatives,115,Kildee
"Graves, Garret",Republican,Louisiana,House of Representatives,115,Graves
"Granger, Kay",Republican,Texas,House of Representatives,115,Granger
"Ferguson, A. Drew",Republican,Georgia,House of Representatives,115,Ferguson
